,1,1_noise_4,1_shift_22050_-20,2,2_noise_4,2_shift_22050_-20
1,0.007107879986159808,0.02845186233927447,0.009705853133148184,0.013907863962937616,0.030253886925046648,0.013958210789774954
1_noise_4,0.02845186233927447,0.002558428567200521,0.029250246581061,0.031013193475423514,0.005144440705455797,0.03042176389625282
1_shift_22050_-20,0.009705853133148184,0.029250246581061,0.00799187825144459,0.013902015691913721,0.030300240843886352,0.013785471166778513
2,0.013907863962937616,0.031013193475423514,0.013902015691913721,0.011602947509664858,0.031565674671544836,0.012048054235549513
2_noise_4,0.030253886925046648,0.005144440705455797,0.030300240843886352,0.031565674671544836,0.004480861358496976,0.03133182834545088
2_shift_22050_-20,0.013958210789774954,0.03042176389625282,0.013785471166778513,0.012048054235549513,0.03133182834545088,0.011335922793004808
