,1,1_noise_4,1_shift_22050_-20,2,2_noise_4,2_shift_22050_-20
1,0.007434975326259625,0.030589211006455015,0.010337534011937356,0.01477579566015393,0.032316033009421305,0.01478250378737332
1_noise_4,0.030589211006455015,0.002557854444601019,0.031311364588578236,0.03241427744815678,0.0051380830811196794,0.032431336813252706
1_shift_22050_-20,0.010337534011937356,0.031311364588578236,0.007530744814101176,0.014651401728847368,0.03233502946182875,0.014680356831187829
2,0.01477579566015393,0.03241427744815678,0.014651401728847368,0.012213903761619436,0.03283183489149078,0.012692882128633442
2_noise_4,0.032316033009421305,0.0051380830811196794,0.03233502946182875,0.03283183489149078,0.004482558341906441,0.033340128413893756
2_shift_22050_-20,0.01478250378737332,0.032431336813252706,0.014680356831187829,0.012692882128633442,0.033340128413893756,0.012080429167936722
